P,N,E,N,N
3819,2197170.959,6521559.21,0,Standard Array Pier
3820,2197204.707,6521559.21,0,Standard Array Pier
3821,2195944.931,6521539.679,0,Standard Array Pier
3822,2196075.788,6521539.679,0,Standard Array Pier
3823,2196941.286,6521539.679,0,Standard Array Pier
3824,2197004.645,6521539.679,0,Standard Array Pier
3825,2195978.68,6521539.679,0,Standard Array Pier
3826,2196012.428,6521539.679,0,Standard Array Pier
3827,2196046.177,6521539.679,0,Standard Array Pier
3828,2195945.455,6521559.21,0,Standard Array Pier
3829,2195979.203,6521559.21,0,Standard Array Pier
3830,2196012.952,6521559.21,0,Standard Array Pier
3831,2195847.161,6521559.21,0,Standard Array Pier
3832,2195813.413,6521559.21,0,Standard Array Pier
3833,2195880.91,6521559.21,0,Standard Array Pier
3834,2196046.7,6521559.21,0,Standard Array Pier
3835,2196971.42,6521559.21,0,Standard Array Pier
3836,2197038.917,6521559.21,0,Standard Array Pier
3837,2197103.462,6521559.21,0,Standard Array Pier
3838,2196076.311,6521559.21,0,Standard Array Pier
3839,2196941.809,6521559.21,0,Standard Array Pier
3840,2197005.169,6521559.21,0,Standard Array Pier
3841,2196970.374,6521520.149,0,Standard Array Pier
3842,2197037.87,6521520.149,0,Standard Array Pier
3843,2197102.416,6521520.149,0,Standard Array Pier
3844,2196075.264,6521520.149,0,Standard Array Pier
3845,2196940.763,6521520.149,0,Standard Array Pier
3846,2197004.122,6521520.149,0,Standard Array Pier
3847,2197136.164,6521520.149,0,Standard Array Pier
3848,2195811.843,6521500.618,0,Standard Array Pier
3849,2195879.34,6521500.618,0,Standard Array Pier
3850,2195943.885,6521500.618,0,Standard Array Pier
3851,2197169.912,6521520.149,0,Standard Array Pier
3852,2197203.661,6521520.149,0,Standard Array Pier
3853,2195845.591,6521500.618,0,Standard Array Pier
3854,2197136.687,6521539.679,0,Standard Array Pier
3855,2197170.436,6521539.679,0,Standard Array Pier
3856,2197204.184,6521539.679,0,Standard Array Pier
3857,2196970.897,6521539.679,0,Standard Array Pier
3858,2197038.394,6521539.679,0,Standard Array Pier
3859,2197102.939,6521539.679,0,Standard Array Pier
3860,2195846.115,6521520.149,0,Standard Array Pier
3861,2195978.156,6521520.149,0,Standard Array Pier
3862,2196011.905,6521520.149,0,Standard Array Pier
3863,2196045.653,6521520.149,0,Standard Array Pier
3864,2195812.366,6521520.149,0,Standard Array Pier
3865,2195879.863,6521520.149,0,Standard Array Pier
3866,2195944.408,6521520.149,0,Standard Array Pier
3867,2196795.813,6521578.741,0,Standard Array Pier
3868,2196320.077,6521520.149,0,Standard Array Pier
3869,2196353.826,6521520.149,0,Standard Array Pier
3870,2196387.574,6521520.149,0,Standard Array Pier
3871,2196221.784,6521520.149,0,Standard Array Pier
3872,2196188.035,6521520.149,0,Standard Array Pier
3873,2196255.532,6521520.149,0,Standard Array Pier
3874,2196421.322,6521520.149,0,Standard Array Pier
3875,2196187.512,6521500.618,0,Standard Array Pier
3876,2196255.009,6521500.618,0,Standard Array Pier
3877,2196319.554,6521500.618,0,Standard Array Pier
3878,2196450.934,6521520.149,0,Standard Array Pier
3879,2196157.901,6521500.618,0,Standard Array Pier
3880,2196221.26,6521500.618,0,Standard Array Pier
3881,2196158.948,6521539.679,0,Standard Array Pier
3882,2196222.307,6521539.679,0,Standard Array Pier
3883,2196188.559,6521539.679,0,Standard Array Pier
3884,2196388.621,6521559.21,0,Standard Array Pier
3885,2196422.369,6521559.21,0,Standard Array Pier
3886,2196451.98,6521559.21,0,Standard Array Pier
3887,2196256.056,6521539.679,0,Standard Array Pier
3888,2196421.846,6521539.679,0,Standard Array Pier
3889,2196451.457,6521539.679,0,Standard Array Pier
3890,2196158.424,6521520.149,0,Standard Array Pier
3891,2196320.601,6521539.679,0,Standard Array Pier
3892,2196354.349,6521539.679,0,Standard Array Pier
